Coming from,Brings you to,Entrance Door,Exit Door,One Way,Condition,notes
Death Mountain Trail,Goron City,To Goron City,From Death Mountain Trail,,,
Death Mountain Trail,Death Mountain Trail Great Fairy,To Death Mountain Trail Great Fairy,From Death Mountain Trail,,Bomb_Bag || Bombchus || Megaton_Hammer,
Death Mountain Trail,Death Mountain Crater,To Death Mountain Crater,From Death Mountain Trail,,,
Death Mountain Trail,Dodongo's Cavern,To Dodongo's Cavern,From Death Mountain Trail,,(Child-0 && (Bomb_Bag || Bombchus)) || Adult-0,
Death Mountain Trail Great Fairy,Death Mountain Trail,To Death Mountain Trail,From Death Mountain Trail Great Fairy,,,
Death Mountain Trail,Death Mountain Trail Cow Grotto,To Death Mountain Trail Cow Grotto,From Death Mountain Trail,,Bomb_Bag || Bombchus || Megaton_Hammer,
Death Mountain Trail Cow Grotto,Death Mountain Trail,To Death Mountain Trail,From Death Mountain Trail Cow Grotto,,,
Dodongo's Cavern,Death Mountain Trail,To Death Mountain Trail,From Dodongo's Cavern,,,
Dodongo's Cavern,King Dodongo,To King Dodongo,From Dodongo's Cavern,,Bomb_Bag || Bombchus,
King Dodongo,Death Mountain Trail,To Death Mountain Trail,From King Dodongo,TRUE,Bomb_Bag || Bombchus,
Death Mountain Crater,Death Mountain Crater Great Fairy,To Death Mountain Crater Great Fairy,From Death Mountain Crater,,Megaton_Hammer,
Death Mountain Crater,Fire Temple,To Fire Temple,From Death Mountain Crater,,,
Death Mountain Crater,Goron City,To Goron City,From Death Mountain Crater,,,
Death Mountain Crater,Death Mountain Crater Grotto,To Death Mountain Crater Grotto,From Death Mountain Crater,,Bomb_Bag || Bombchus || Megaton_Hammer,
Death Mountain Crater Grotto,Death Mountain Crater,To Death Mountain Crater,From Death Mountain Crater Grotto,,,
Fire Temple,Death Mountain Crater,To Death Mountain Crater,From Fire Temple,,,
Fire Temple,Volvagia,To Volvagia,From Fire Temple,,,
Volvagia,Death Mountain Crater,To Death Mountain Crater,From Volvagia,,Megaton_Hammer,
Goron City,Death Mountain Trail,To Death Mountain Trail,From Goron City,,,
Goron City,Lost Woods,To Lost Woods,From Goron City,,Bomb_Bag || Bombchus || Megaton_Hammer,
Goron City,Goron Shop,To Goron Shop,From Goron City,,(Adult-0 && (Bomb_Bag || Bombchus)) || (Child-0 && Zelda's_Lullaby),
Goron City,Death Mountain Crater,To Death Mountain Crater,From Goron City,,(Adult-0 && (Bomb_Bag || Bombchus)) || (Child-0 && Zelda's_Lullaby && Saria's_Song),
Goron Shop,Goron City,To Goron City,From Goron Shop,,,
Zora River,Zora's Domain,To Zora's Domain,From Zora River,,Zelda's_Lullaby,
Zora River,Zora River Song of Storms Grotto,To Zora River Song of Storms Grotto,From Zora River,,Song_of_Storms,
Zora River,Zora River Rock Grotto,To Zora River Rock Grotto,From Zora River,,,
Zora River,Zora River Open Grotto,To Zora River Open Grotto,From Zora River,,,
Zora River,Lost Woods,To Lost Woods,From Zora River,,Silver_Scale || Gold_Scale,
Zora River,Hyrule Field,To Hyrule Field,From Zora River,,,
Zora's Domain,Zora's Fountain,To Zora's Fountain,From Zora's Domain,,Adult-0 || (Child-0 && Ruto's_Letter_in_a_Bottle),
Zora's Domain,Zora River,To Zora River,From Zora's Domain,,,
Zora's Domain,Zora Shop,To Zora Shop,From Zora's Domain,,Child-0 || (Adult-0 && Blue_Fire),
Zora's Domain,Zora's Domain Song of Storms Grotto,To Zora's Domain Song of Storms Grotto,From Zora's Domain,,Song_of_Storms,
Zora Shop,Zora's Domain,To Zora's Domain,From Zora Shop,,,
Zora's Fountain,Jabu Jabu,To Jabu Jabu,From Zora's Fountain,,Child-0 && Bottle,
Zora's Fountain,Ice Cavern,To Ice Cavern,From Zora's Fountain,,Adult-0,
Zora's Fountain,Zora's Domain,To Zora's Domain,From Zora's Fountain,,,
Zora's Fountain,Zora's Fountain Great Fairy,To Zora's Fountain Great Fairy,From Zora's Fountain,,Bomb_Bag || Bombchus,
Jabu Jabu,Zora's Fountain,To Zora's Fountain Great Fairy,From Jabu Jabu,,,
Jabu Jabu,Barinade,To Barinade,From Jabu Jabu,,Child-0 && Boomerang,
Barinade,Zora's Fountain,To Zora's Fountain,From Barinade,,Child-0 && Boomerang,
Ice Cavern,Zora's Fountain,,,,,
Lon Lon Ranch,Lon Lon Ranch Stables,To Lon Lon Ranch Stables,From Lon Lon Ranch,,,
Lon Lon Ranch,Lon Lon Ranch Tower,To Lon Lon Ranch Tower,From Lon Lon Ranch,,,
Lon Lon Ranch,Hyrule Field,To Hyrule Field,From Lon Lon Ranch,,,
Lon Lon Ranch,Talon's House,To Talon's House,From Lon Lon Ranch,,,
Lon Lon Ranch,Lon Lon Ranch Grotto,Lon Lon Ranch Grotto,Lon Lon Ranch,,Adult-0,
Talon's House,Lon Lon Ranch,To Lon Lon Ranch,From Talon's House,,,
Lon Lon Ranch Stables,Lon Lon Ranch,To Lon Lon Ranch,From Lon Lon Ranch Stables,,,
Lon Lon Ranch Tower,Lon Lon Ranch,To Lon Lon Ranch,From Lon Lon Ranch Tower,,,
Kokiri Forest,Lost Woods,To Lost Woods,From Kokiri Forest,,,
Kokiri Forest,Link's House,To Link's House,From Kokiri Forest,,,
Kokiri Forest,Saria's House,To Saria's House,From Kokiri Forest,,,
Kokiri Forest,Mido's House,To Mido's House,From Kokiri Forest,,,
Kokiri Forest,Know-it-all House,To Know-it-all House,From Kokiri Forest,,,
Kokiri Forest,Kokiri Forest Shop,To Kokiri Forest Shop,From Kokiri Forest,,,
Kokiri Forest,Deku Tree,To Deku Tree,From Kokiri Forest,,kokiri_sword && deku_shield,
Kokiri Forest,House of Twins,To House of Twins,From Kokiri Forest,,,
Kokiri Forest,Lost Woods,To Lost Woods Bridge,From Kokiri Forest,,Kokiri_Emerald,
Lost Woods,Hyrule Field,To Hyrule Field,From Lost Woods Bridge,,,
Lost Woods,Kokiri Forest,To Kokiri Forest,From Lost Woods Bridge,,,
Lost Woods,Kokiri Forest,To Kokiri Forest,From Lost Woods,,,
Lost Woods,Goron City,To Goron City,From Lost Woods,,,
Lost Woods,Lost Woods Grotto Near Goron City,To Lost Woods Grotto Near Goron City,From Lost Woods,,,
Lost Woods,Lost Woods Grotto Scrub Merchant Room,To Lost Woods Grotto Scrub Merchant Room,From Lost Woods,,,
Lost Woods,Lost Woods Grotto Near Sacred Forest Meadow,To Lost Woods Grotto Near Sacred Forest Meadow,From Lost Woods,,,
Lost Woods,Sacred Forest Meadow,To Sacred Forest Meadow,From Lost Woods,,Child-0 || (Adult-0 && Saria's_Song),
Lost Woods,Zora River,To Zora River,From Lost Woods,,Silver_Scale || Gold_Scale,
Lost Woods Grotto Near Goron City,Lost Woods,To Lost Woods,From Lost Woods Grotto Near Goron City,,Bomb_Bag || Bombchus || Megaton_Hammer,
Lost Woods Grotto Scrub Merchant Room,Lost Woods,To Lost Woods,From Lost Woods Grotto Scrub Merchant Room,,,
Lost Woods,Lost Woods Grotto Near Sacred Forest Meadow,To Lost Woods,From Lost Woods Grotto Near Sacred Forest Meadow,,Bomb_Bag || Bombchus || Megaton_Hammer,
Link's House,Kokiri Forest,To Kokiri Forest,From Link's House,,,
Mido's House,Kokiri Forest,To Kokiri Forest,From Mido's House,,,
Saria's House,Kokiri Forest,To Kokiri Forest,From Saria's House,,,
House of Twins,Kokiri Forest,To Kokiri Forest,From House of Twins,,,
Know-it-all House,Kokiri Forest,To Kokiri Forest,From Know-it-all House,,,
Kokiri Forest Shop,Kokiri Forest,To Kokiri Forest,From Kokiri Forest Shop,,,
Deku Tree,Kokiri Forest,To Kokiri Forest,From Deku Tree,,,
Deku Tree,Gohma,To Gohma,From Deku Tree,TRUE,,
Gohma,Kokiri Forest,To Kokiri Forest,From Gohma,TRUE,,
Sacred Forest Meadow,Forest Temple,To Forest Temple,From Sacred Forest Meadow,,Hookshot || Longshot,
Sacred Forest Meadow,Lost Woods,To Lost Woods,From Sacred Forest Meadow,,,
Sacred Forest Meadow,Sacred Forest Meadow Entrance Grotto,To Sacred Forest Meadow Entrance Grotto,From Sacred Forest Meadow,,Bomb_Bag || Bombchus || Megaton_Hammer,
Sacred Forest Meadow,Sacred Forest Meadow Fairy Grotto,To Sacred Forest Meadow Fairy Grotto,From Sacred Forest Meadow,,,
Forest Temple,Sacred Forest Meadow,To Sacred Forest Meadow,From Forest Temple,,,
Forest Temple,Phantom Ganon,To Phantom Ganon,From Forest Temple,,,
Phantom Ganon,,,,TRUE,,
Kakariko Village,Impa's House,To Impa's House,From Kakriko Village Chicken Fence,,,
Kakariko Village,Impa's House,To Impa's House,From Kakriko Village Impa's House Front,,,
Kakariko Village,Windmill,To Windmill,From Kakariko Village,,,
Kakariko Village,Carpenter Boss House,To Carpenter Boss House,From Kakariko Village,,,
Kakariko Village,Skulltula House,To Skulltula House,From Kakariko Village,,,
Kakariko Village,Kakariko Shooting Gallery,To Kakariko Shooting Gallery,From Kakariko Village,,Adult-0,
Kakariko Village,Granny's Potion Shop,To Granny's Potion Shop,From Kakariko Village,,,
Kakariko Village,Kakariko Bazaar,To Kakariko Bazaar,From Kakariko Village,,,
Kakariko Village,Kakariko Potion Shop Front,To Kakariko Potion Shop Front,From Kakariko Village,,,
Kakariko Village,Kakariko Potion Shop Back,To Kakariko Potion Shop Back,From Kakariko Village,,,
Kakariko Village,Bottom of the Well,To Bottom of the Well,From Kakariko Village,,(Child-0 && Song_of_Storms) || (Child-0 && Warp_found_out_of_Bottom_of_the_Well_Exit),
Kakariko Village,Kakariko Village Potion Shops Grotto,To From Kakariko Village,From Kakariko Village,,,
Kakariko Village,Kakariko Village Potion Middle Tree Grotto,To Kakariko Village Potion Middle Tree Grotto,From Kakariko Village,,Bomb_Bag || Bombchus || Megaton_Hammer,
Kakariko Village,Death Mountain Trail,To Death Mountain Trail,From Kakariko Village,,(Child-0 && Zelda's_Letter) || Adult-0,
Carpenter Boss House,Kakariko Village,To Kakariko Village,From Carpenter Boss House,,,
Skulltula House,Kakariko Village,To Kakariko Village,From Skulltula House,,,
Impa's House,Kakariko Village,To Kakariko Village Impa's House  Front,From Impa's House,,,
Impa's House,Kakariko Village,To Kakariko Village Impa's House  Back,From Impa's House,,,
Windmill,Kakariko Village,To Kakariko Village,From Windmill,,,
Kakariko Shooting Gallery,Kakariko Village,To Kakariko Shooting Gallery,From Kakariko Village,,Adult-0,
Granny's Potion Shop,Kakariko Village,To Kakariko Village,From Granny's Potion Shop,,,
Kakariko Bazaar,Kakariko Village,To Kakariko Village,From Kakariko Bazaar,,,
Kakariko Potion Shop,Kakariko Village,To Kakariko Village Potion Shop Front,From Kakariko Potion Shop,,,
Kakariko Potion Shop,Kakariko Village,To Kakariko Village Potion Shop Back,From Kakariko Potion Shop,,Adult-0,
Bottom of the Well,Kakariko Village,To Kakariko Village,From Bottom of the Well,,,
Hyrule Field,Kokiri Forest,To Kokiri Forest,From Hyrule Field,,,
Hyrule Field,Gerudo Valley,To Gerudo Valley Front,From Hyrule Field,,,
Hyrule Field,Lake Hylia,To Lake Hylia,From Hyrule Field,,,
Hyrule Field,Castle Town,To Castle Town,From Hyrule Field,,,
Hyrule Field,Zora River,To Zora River,From Hyrule Field,,,
Hyrule Field,Kakariko Village,To Kakariko Village,From Hyrule Field,,,
Hyrule Field,Lon Lon Ranch,To Lon Lon Ranch,From Hyrule Field,,,
Hyrule Field,Hyrule Field Lone Tree Grotto,To Hyrule Field Lone Tree Grotto,From Hyrule Field,,,
Hyrule Field,Hyrule Field Tree Left of Kakariko Entrance Grotto,To Hyrule Field Tree Left of Kakariko Entrance Grotto,From Hyrule Field,,,
Hyrule Field,Hyrule Field Near Lake Hylia Open Grotto,To Hyrule Field Near Lake Hylia Open Grotto,From Hyrule Field,,,
Hyrule Field,Hyrule Field Next to Draw Bridge Rock Grotto,To Hyrule Field Next to Draw Bridge Rock Grotto,From Hyrule Field,,,
Hyrule Field,Hyrule Field Across the River Grotto,To Hyrule Field Across the River Grotto,From Hyrule Field,,,
Hyrule Field,Hyrule Field Forest Rock Grotto,To Hyrule Field Forest Rock Grotto,From Hyrule Field,,,
Hyrule Field,Hyrule Field Lake Hylia Entrance Fence Grotto,To Hyrule Field Lake Hylia Entrance Fence Grotto,From Hyrule Field,,,
Hyrule Field,Hyrule Field Gerudo Valley Rock Grotto,To Hyrule Field Gerudo Valley Rock Grotto,From Hyrule Field,,,
Hyrule Field Lone Tree Grotto,Hyrule Field,To Hyrule Field,From Hyrule Field Lone Tree Grotto,,,
Hyrule Field Tree Left of Kakariko Entrance Grotto,Hyrule Field,To Hyrule Field,From Hyrule Field Tree Left of Kakariko Entrance Grotto,,,
Hyrule Field Near Lake Hylia Open Grotto,Hyrule Field,To Hyrule Field,From Hyrule Field Near Lake Hylia Open Grotto,,,
Hyrule Field Next to Draw Bridge Rock Grotto,Hyrule Field,To Hyrule Field,From Hyrule Field Next to Draw Bridge Rock Grotto,,,
Hyrule Field Across the River Grotto,Hyrule Field,To Hyrule Field,From Hyrule Field Across the River Grotto,,,
Hyrule Field Forest Rock Grotto,Hyrule Field,To Hyrule Field,From Hyrule Field Forest Rock Grotto,,,
Hyrule Field Lake Hylia Entrance Fence Grotto,Hyrule Field,To Hyrule Field,From Hyrule Field Lake Hylia Entrance Fence Grotto,,,
Hyrule Field Gerudo Valley Rock Grotto,Hyrule Field,To Hyrule Field,From Hyrule Field Gerudo Valley Rock Grotto,,,
